stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
169400,梅ヶ畑清水町,梅ヶ畑清水町(北行),,うめがはたしみずちょう,Umegahata Shimizucho,梅畑清水町,梅畑清水町,우메가하타시미즈초,0,1,右
170300,広芝町,広芝町(南行),,ひろしばちょう,Hiroshibacho,广芝町,廣芝町,히로시바초,0,1,右
170400,広芝町,広芝町(北行),,ひろしばちょう,Hiroshibacho,广芝町,廣芝町,히로시바초,0,1,右
171300,高雄小学校前,高雄小学校前(南行),,たかおしょうがっこうまえ,Takao Shogakko-mae,高雄小学校前,高雄小學校前,다카오쇼갓코마에,0,1,右
171400,高雄小学校前,高雄小学校前(北行),,たかおしょうがっこうまえ,Takao Shogakko-mae,高雄小学校前,高雄小學校前,다카오쇼갓코마에,0,1,右
172300,御経坂,御経坂(南行),,みきょうざか,Mikyozaka,御经坂,御經坂,미쿄자카,0,1,右
172400,御経坂,御経坂(北行),,みきょうざか,Mikyozaka,御经坂,御經坂,미쿄자카,0,1,右
173300,御所ノ口,御所ノ口(バス停),,ごしょのぐち,Goshonoguchi,御所之口,御所之口,고쇼노구치,0,1,右
174300,高雄,高雄(南行),,たかお,Takao,高雄,高雄,다카오,0,1,右
174400,高雄,高雄(北行),,たかお,Takao,高雄,高雄,다카오,0,1,右
175300,堀川鞍馬口,堀川鞍馬口(南行),,ほりかわくらまぐち,Horikawa Kuramaguchi,堀川鞍马口,堀川鞍馬口,호리카와쿠라마구치,0,1,北
175400,堀川鞍馬口,堀川鞍馬口(北行),,ほりかわくらまぐち,Horikawa Kuramaguchi,堀川鞍马口,堀川鞍馬口,호리카와쿠라마구치,0,1,北
176300,天神公園前,天神公園前(南行),A,てんじんこうえんまえ,Tenjin Koen-mae,天神公园前,天神公園前,덴진코엔마에,0,1,上
176400,天神公園前,天神公園前(北行),,てんじんこうえんまえ,Tenjin Koen-mae,天神公园前,天神公園前,덴진코엔마에,0,1,上
